Protein1	Protein2	Interaction	Prediction
A0A1I7SCF8_BURXY	pdb2lnb	1	0.949
BxCYP33C9_4	pdb6pqm	0	0
A0A7I8WZ01_BURXY	pdb2mry	0	0
BxCYP33C4_5	pdb2lf2	1	0.666
BxATG1_1	2kcx	0	0.018
BxCYP33D3_2	2kcx	0	0
Bx_cpl_1_4	pdb2ko1	0	nan
Bx_cpl_2_1	pdb2kim	0	0.033
I4N5T3_9PSED	6dxa	0	nan
BxCYP33C9_1	pdb6e4h	0	nan
I0QMH2_9GAMM	pdb2kt1	1	0.555
Bx_cpl_1_4	pdb7c1m	0	nan
BxCYP33C9_2	pdb2l8v	0	0.47
BxCYP33D3_5	pdb6nu4	0	0.168
BxSapB1_2	pdb2kkq	1	0.504
SapB3_2	pdb2lfi	0	0.036
Bx_cpl_3_2	pdb2kvo	0	0
cyp_33C9_3	pdb2lso	0	0.223
A0A1I7SCA3_BURXY	pdb2m47	0	0
BxATG8_2	pdb6prj	0	0.014
Bx_tlp_1_3	pdb2l9p	1	0.943
I0QWV1_9GAMM	pdb2m16	0	0.102
Bx_cpl_2_4	pdb2l0a	0	0.213
Bx_tlp_1_5	pdb7m5t	1	0.954
Bx_Prx_1	pdb6cgh	0	0.129
I0QNP5_9GAMM	pdb2l9q	0	0.049
I0QWV1_9GAMM	pdb2lnu	0	0.064
Bx_cpl_1_4	pdb3s9v	0	nan
Bx_Prx_4	pdb2n3j	0	nan
Bx_tlp_1_1	pdb6ppt	0	0.016
BxSapB1_5	pdb2kif	0	0.116
BxATG16_3	pdb8ftw	1	0.968
BxPel1_3	pdb2nsx	0	nan
A0A1I7RIV0_BURXY	pdb6lqz	0	0.002
I0QT18_9GAMM	pdb2lso	0	0.009
Bx_cpl_1_4	pdb2kim	0	0.006
BxCYP33C4_1	pdb2lak	0	0.129
SapB3_3	pdb6prj	0	0.368
Bx_tlp_1_2	pdb8s9c	0	nan
BxATG1_5	pdb2loy	0	0.16
A0A060N411_BURMU	pdb2l0a	0	0.001
Bx_cpl_1_2	pdb8c29	0	nan
I0QM84_9GAMM	pdb7knv	0	0.146
BxCYP33C9_4	pdb6nu4	0	0
BxATG9_2	pdb2n3j	0	nan
A0A1I7RKM9_BURXY	pdb6nu4	0	0.245
A0A1I7SF60_BURXY	pdb8ftw	0	0
A0A1I7S412_BURXY	pdb6jxu	0	0
A0A1I7SF60_BURXY	pdb6nu4	0	0
BxCYP33C4_5	pdb2mm6	1	0.567
I0QT18_9GAMM	pdb5z55	0	0.006
BxATG1_2	pdb3sdv	0	0
BxCYP33D3_1	pdb2ksi	0	0.013
Bx_tlp_1_2	pdb2kt7	0	0.053
A0A1I7RJ71_BURXY	pdb1qyc	0	nan
BxATG8_2	pdb6iwj	0	nan
Bx_cpl_2_2	pdb3sdr	0	0.262
I0QT18_9GAMM	pdb2kpt	0	0.012
BxATG9_2	2kyq	0	0.443
Bx_tlp_1_3	pdb2ltd	0	nan
Bx_cpl_1_5	2kyq	0	0.474
BxATG16_5	pdb6cgh	0	0
I0QYP7_9GAMM	pdb6kna	0	0.01
A0A7I8WZ01_BURXY	pdb7y55	0	nan
SapB3_4	pdb6psi	0	nan
A0A1I7SF60_BURXY	pdb6iwj	0	nan
I4N4Q3_9PSED	pdb1u0u	0	nan
Bx_Prx_4	2kl7	0	0.035
A0A1I7S9L6_BURXY	pdb2mv0	0	0
Bx_Prx_3	pdb6amw	0	0.4
BxCYP33C9_4	pdb2kt8	0	0
BxCYP33D3_3	pdb2l0a	1	0.657
I0QYY0_9GAMM	pdb2l0c	1	0.866
A0A1I7S6H9_BURXY	pdb2m01	0	0.077
BxSapB1_2	pdb2ljw	1	0.554
Bx_tlp_1_3	pdb2lmd	1	0.885
Bx_Prx_1	pdb2kct	0	0.077
A0A1I7S162_BURXY	pdb7jyn	0	0.006
BxCYP33C9_5	2kcx	0	0.282
Bx_tlp_1_5	pdb6xrg	1	0.981
SapB3_4	pdb2m16	0	0.007
A0A7I8X2Z5_BURXY	pdb7knv	0	0.002
I4N4M3_9PSED	pdb2ksh	0	0.002
BxPel1_1	pdb2lgh	0	0
I4N5X7_9PSED	pdb2l3f	0	0.006
I0QMH2_9GAMM	pdb2nsx	0	nan
A0A1I7RKV3_BURXY	pdb2kpt	0	0
A0A1I7RIV0_BURXY	pdb7m5t	0	0.005
Bx_cpl_2_1	pdb2ksh	0	0.079
BxPel1_3	pdb6amv	0	0.004
SapB3_1	pdb2lf2	0	0.036
BxATG1_3	pdb2m47	0	0.064
cyp_33C9_4	pdb6psi	0	nan
A0A7I8WZ01_BURXY	pdb2kw6	0	0
I0QNA0_9GAMM	pdb2l3f	0	0.026
BxATG8_2	pdb3sdu	0	0.019
I4N5X7_9PSED	pdb6prj	0	0.003
A0A1I7RT14_BURXY	pdb2lch	0	0.002
BxATG1_5	pdb2l3f	0	0.224
Bx_cpl_3_4	pdb5ks6	1	0.918
BxATG1_2	pdb6jxu	0	0
Bx_cpl_1_4	pdb2lna	0	0.007
BxCYP33C4_2	pdb2l09	0	0.095
Bx_cpl_1_2	pdb2mm5	0	0.007
A0A1I7RIV0_BURXY	pdb6xr7	0	0.013
cyp_33C9_5	pdb5kp0	0	0.176
Bx_Prx_3	pdb6iwj	0	nan
A0A7I8WZ01_BURXY	pdb7knv	0	0
BxATG8_1	pdb7wcg	0	0
SapB3_4	pdb2lq3	0	0.002
I4MYK4_9PSED	pdb2mk2	0	0.133
SapB3_3	pdb2m1l	0	nan
Bx_cpl_1_1	pdb7qcc	0	0.008
BxSapB1_4	pdb3hbd	0	0.079
BxATG9_2	pdb2ksi	0	0.284
BxATG8_1	pdb2ma6	0	0
BxATG16_3	pdb5nce	1	0.953
A0A1I7RKM9_BURXY	pdb2kvo	0	0.277
A0A1I7RKM9_BURXY	pdb2l3a	0	nan
I4N8B0_9PSED	pdb6xr7	0	0.101
I0QM84_9GAMM	pdb2lio	0	0.106
Bx_Prx_2	pdb7mzx	0	0.032
BxATG16_3	pdb2n3k	1	0.92
Bx_cpl_2_4	pdb2mm5	0	0.142
Bx_cpl_2_2	pdb6e4j	0	0.209
BxATG16	pdb6cgh	1	0.978
BxCYP33C9_3	pdb2kzv	0	0
I4N4Q3_9PSED	pdb2l05	0	0.004
cyp_33C9_2	pdb5nce	1	0.917
BxCYP33C4_2	pdb3sdr	0	0.132
BxATG8_5	pdb1qyc	0	nan
BxSapB1_2	pdb2mm6	0	0.49
BxATG8_3	pdb6jxw	0	0.002
Bx_tlp_1_2	pdb8c29	0	nan
BxCYP33C9_1	pdb2lio	0	0.314
BxATG9_1	pdb1u0u	0	nan
Bx_Prx_3	pdb5z55	0	0.22
I0QNA0_9GAMM	pdb2l3a	0	nan
Bx_tlp_1_3	pdb2lo0	0	nan
BxCYP33C9_1	pdb2lq3	0	0.243
BxCYP33C4_4	pdb3sdv	0	0.002
BxSapB1_3	pdb2l82	0	0.097
BxSapB1	pdb6kna	1	0.981
SapB3_4	pdb2kt1	0	0.006
cyp_33C9_2	pdb2n75	1	0.86
Bx_tlp_1_2	pdb7n99	0	0.052
BxSapB1_2	pdb2lgh	1	0.595
A0A1I7S6H9_BURXY	pdb2lak	0	0.059
BxCYP33C4_3	pdb1xet	0	nan
BxATG9_1	7mzw	0	0
SapB3_3	pdb6nu4	0	0.267
BxATG16_2	pdb6j4i	0	0.004
cyp_33C9_3	pdb2kct	0	0.218
cyp_33C9_2	pdb2l9q	1	0.941
BxATG9_5	pdb6kna	0	0.458
I0QWV1_9GAMM	pdb2lx7	0	0.044
Bx_cpl_1_3	pdb7mzx	0	0.001
cyp_33C9_4	pdb7m5t	0	0.28
Bx_tlp_1_3	pdb2kzv	1	0.864
A0A1I7RJ71_BURXY	pdb2mry	0	0
cyp_33C9_2	2kyq	1	0.971
I4N8B0_9PSED	pdb6e4j	0	0.029
Bx_cpl_3_4	pdb6wlf	0	nan
I4MYK4_9PSED	pdb7wcg	0	0.03
SapB3_5	pdb6xrg	1	0.681
BxPel1_3	pdb2lnu	0	0.005
BxSapB1_4	pdb2lna	0	0.096
BxCYP33C9_5	pdb3sdq	0	0.103
Bx_cpl_3_2	pdb2lni	0	0
BxCYP33D3_1	pdb2mbm	0	0.004
Bx_cpl_1_2	pdb2lna	0	0.01
I0QMH2_9GAMM	pdb2kpt	0	0.396
cyp_33C9_4	pdb2ksh	0	0.33
BxATG8_1	pdb2lnb	0	0
BxCYP33C4_3	pdb6lqz	0	0.133
BxATG16_1	pdb7n99	0	0
Bx_Prx_3	2kl7	1	0.626
BxCYP33D3_4	pdb2luz	0	0.065
A0A7I8WZ01_BURXY	pdb7n99	0	0
A0A1I7SCF8_BURXY	pdb2lw4	1	0.957
BxATG16	pdb2mbm	1	0.958
A0A1I7S162_BURXY	pdb1xes	0	nan
BxATG8_5	pdb2lxu	0	0
A0A1I7S5S3_BURXY	pdb6wlf	0	nan
Bx_tlp_1_4	pdb2lcg	1	0.953
BxCYP33C9_2	pdb8s9c	0	nan
I0QQT8_9GAMM	pdb6nu4	0	0.006
SapB3_2	pdb1xet	0	nan
I0QQT8_9GAMM	pdb6prp	0	0.013
BxCYP33C9_3	pdb2kzx	0	0
BxCYP33D3_4	pdb2l05	0	0.107
BxSapB1_2	pdb6xry	1	0.843
A0A1I7RL37_BURXY	pdb2l05	1	0.557
BxATG8_2	pdb3sdt	0	0.019
BxATG16_1	pdb7c1m	0	nan
Bx_cpl_2_2	pdb2m16	0	0.402
A0A1I7RKM9_BURXY	pdb6prq	0	0.415
BxATG1_2	pdb2l7q	0	0
I0QYY0_9GAMM	pdb2m47	1	0.857
I0QM84_9GAMM	pdb2kct	0	0.075
Bx_tlp_1_1	pdb2lw4	0	0.028
cyp_33C9_5	pdb6xry	1	0.533
Bx_Prx_2	pdb2mbm	0	0.014
BxCYP33C9_2	pdb2kpn	0	0.405
BxCYP33D3_3	pdb2n75	1	0.592
cyp_33C9_3	pdb2l09	0	0.261
A0A1I7S161_BURXY	2lla	0	0
Bx_cpl_1_4	pdb6xry	0	0.029
A0A1I7RT14_BURXY	pdb2ksi	0	0.004
BxATG1_1	pdb2lxu	0	0.004
Bx_Prx_1	pdb3sdq	0	0.134
BxATG1_2	pdb3hbe	0	0
BxATG9_5	pdb2mh2	0	0.46
Bx_cpl_2_5	pdb3sae	0	0.406
cyp_33C9_3	pdb2l3f	0	0.447
I4N4M3_9PSED	pdb2l5q	0	0.002
BxSapB1_5	pdb3sdt	0	0.133
A0A1I7S161_BURXY	2kyq	0	0.001
BxCYP33C4_3	pdb6kna	0	0.29
BxATG8_3	pdb2mk2	0	0.008
Bx_tlp_1_1	pdb2kkq	0	0.02
Bx_Prx_1	2kyq	0	0.309
Bx_cpl_1_4	pdb5zau	0	0.01
BxCYP33C9_4	pdb2ltl	0	0
Bx_tlp_1_4	pdb7wcg	1	0.899
BxCYP33D3_5	pdb2ksi	0	0.398
Bx_cpl_2_5	pdb2mh2	0	0.444
I0QNP5_9GAMM	pdb3sdu	0	0.037
A0A7I8X2Z5_BURXY	pdb2lnu	0	0.002
A0A1I7S6H9_BURXY	pdb2kzw	0	0.052
SapB3_4	pdb7knv	0	0.004
BxATG16_2	pdb6cgh	0	0.006
BxATG1_2	6dxa	0	nan
Bx_cpl_3_4	pdb7mzz	1	0.914
cyp_33C9_1	pdb6iwj	0	nan
I0QM84_9GAMM	pdb6ppt	0	0.062
BxATG16_2	pdb3s9v	0	nan
A0A1I7SCF8_BURXY	pdb2ltl	1	0.954
Bx_cpl_2_1	pdb2mh2	0	0.065
Bx_cpl_3_4	pdb8ftx	1	0.947
BxPel1_3	pdb3s9v	0	nan
Bx_Prx_1	pdb2l3a	0	nan
BxCYP33D3_4	pdb1u0u	0	nan
BxCYP33C9_3	pdb2kw6	0	0
A0A1I7S162_BURXY	pdb2kl3	0	0.001
I0QYP7_9GAMM	pdb2kpm	0	0.005
SapB3_4	pdb2n3k	0	0.002
BxCYP33C9_3	pdb5z55	0	0
BxATG1_3	pdb2l8v	0	0.096
I4MYK4_9PSED	pdb2m1l	0	nan
BxCYP33D3_4	pdb6xry	0	0.217
BxPel1_2	pdb2l0a	0	0.012
I4N8B0_9PSED	pdb6jxu	0	0.029
Bx_cpl_3_3	pdb2ljw	1	0.884
I0QQT8_9GAMM	pdb6lqz	0	0.006
Bx_cpl_3_5	pdb4lej	0	0.067
BxSapB1_5	pdb6iwj	0	nan
A0A1I7RKM9_BURXY	pdb8ftx	0	0.489
Bx_tlp_1_5	pdb2kl6	1	0.909
Bx_cpl_3_4	pdb2l08	1	0.889
I0QYP7_9GAMM	7mzw	0	0.013
BxCYP33D3_3	pdb2kim	1	0.615
I0QMH2_9GAMM	pdb2n3j	0	nan
SapB3_5	pdb6xr7	1	0.679
Bx_cpl_3_2	pdb2loy	0	0
Bx_cpl_2_1	pdb2lf2	0	0.045
I0QYY0_9GAMM	pdb2ma6	1	0.822
BxPel1_1	pdb2mv0	0	0
A0A1I7S5S3_BURXY	pdb6nu4	0	0.003
cyp_33C9_3	pdb2luz	0	0.268
Bx_cpl_1_4	pdb6tfb	0	nan
A0A1I7S6H9_BURXY	pdb2kd1	0	0.105
BxCYP33D3_1	pdb2lgh	0	0.007
A0A1I7RL98_BURXY	pdb2kwb	0	0
BxPel1_4	pdb7lns	0	0.006
A0A1I7RL37_BURXY	pdb2kl6	0	0.36
Bx_cpl_2_1	pdb2lze	0	0.044
Bx_cpl_3_5	pdb6o6w	0	0.054
Bx_tlp_1_5	pdb2nt0	0	nan
BxSapB1_3	pdb6prj	0	0.093
I0QYP7_9GAMM	6dxa	0	nan
SapB3_2	pdb2lx7	0	0.036
Bx_tlp_1_5	pdb2ksh	1	0.963
I4N8B0_9PSED	pdb3s9v	0	nan
I0QWV1_9GAMM	pdb2mv0	0	0.03
Bx_cpl_3_5	pdb2kl3	0	0.066
Bx_cpl_3_5	pdb2lch	0	0.095
BxCYP33C9_2	2lla	1	0.595
A0A1I7RJ71_BURXY	pdb6amw	0	0
A0A1I7SF60_BURXY	pdb2mbl	0	0
BxPel1_3	pdb2mv0	0	0.002
I4N0B6_9PSED	pdb8ftx	0	0.018
A0A1I7RIV0_BURXY	pdb5z55	0	0.002
BxPel1_2	pdb6pqe	0	0.017
Bx_cpl_2_4	pdb5vso	0	0.147
BxCYP33C4_4	pdb1u0u	0	nan
Bx_cpl_1_3	pdb6wlf	0	nan
Bx_Prx_3	pdb6xr6	1	0.565
SapB3_5	pdb8s9c	0	nan
BxPel1_1	pdb2m47	0	0
A0A1I7SCA3_BURXY	pdb2lx7	0	0
BxATG8_4	pdb2lgh	0	0
Bx_Prx_1	pdb6tfb	0	nan
Bx_cpl_1_1	pdb2l05	0	0.02
BxSapB1_2	pdb6iwj	0	nan
BxCYP33C9_5	pdb7mzz	0	0.081
I0QMH2_9GAMM	pdb2n3k	0	0.314
BxCYP33C9_1	pdb2l09	0	0.285
BxATG9_3	pdb2ksh	0	0.044
BxATG8_1	pdb2l05	0	0.001
A0A1I7RIV0_BURXY	pdb2lgh	0	0.004
Bx_tlp_1_2	pdb2l0a	0	0.041
cyp_33C9_4	pdb6iwj	0	nan
BxATG1_5	pdb7x5c	0	0.084
I0QWV1_9GAMM	pdb2kw2	0	0.061
BxATG9_1	pdb2kkq	0	0
A0A1I7RYC6_BURXY	pdb2l7q	0	0.028
I0QQT8_9GAMM	pdb2n3j	0	nan
A0A1I7RT14_BURXY	pdb2kl3	0	0.001
I4N0B6_9PSED	pdb2kt7	0	0.012
BxCYP33D3_2	pdb2nbn	0	0
BxATG9_1	pdb3sdt	0	0
BxATG8_4	pdb2mv0	0	0
cyp_33C9_3	pdb1qyc	0	nan
BxATG1_4	pdb6ppt	0	0
BxATG1_2	pdb5zau	0	0
Bx_cpl_2_5	pdb6j4i	0	0.336
Bx_cpl_1_5	pdb2kzx	0	0.24
BxATG1_3	pdb2mbl	0	0.05
A0A1I7RIV0_BURXY	pdb2nsx	0	nan
Bx_Prx_2	pdb2m16	0	0.053
A0A060N411_BURMU	pdb2ll8	0	0.001
A0A1I7SF60_BURXY	pdb3sdr	0	0
SapB3_3	pdb2nbn	0	0.3
A0A1I7SCF8_BURXY	pdb2l08	1	0.944
BxCYP33C4_3	pdb1xes	0	nan
Bx_cpl_1_2	pdb2nsx	0	nan
BxSapB1	pdb7jyz	1	0.993
SapB3_5	pdb7lns	0	0.458
BxPel1_3	pdb7n99	0	0.004
Bx_Prx_5	pdb5krw	0	0.41
cyp_33C9_1	pdb2l5q	1	0.937
BxATG8_4	pdb7m5t	0	0
BxATG16_1	7mzw	0	0
BxATG8_1	pdb6jxu	0	0
Bx_cpl_2_2	pdb6amw	0	0.252
BxCYP33C9_3	pdb3s9v	0	nan
cyp_33C9_5	pdb2kw6	0	0.18
Bx_cpl_3_1	pdb2mbm	0	0.193
Bx_cpl_1_5	pdb7lu8	0	0.266
I4N4Q3_9PSED	pdb6prj	0	0.002
I0QWV1_9GAMM	pdb7mzx	0	0.064
BxATG16_2	pdb2ljl	0	0.006
I0QNA0_9GAMM	pdb2l82	0	0.012
cyp_33C9_4	pdb6nzl	0	0.131
Bx_cpl_2_4	2kl7	0	0.482
Bx_cpl_3_1	pdb6pqe	0	0.318
Bx_cpl_2_3	pdb2l09	0	0.229
BxATG9_5	pdb7c1m	0	nan
BxSapB1_3	pdb6amw	0	0.123
A0A1I7RKM9_BURXY	pdb2l0d	0	0.335
BxPel1_5	pdb2l9p	0	0.16
Bx_cpl_2_3	pdb1xet	0	nan
A0A1I7SCF8_BURXY	pdb2lso	1	0.942
I0QT18_9GAMM	pdb2kt7	0	0.014
Bx_cpl_1_5	pdb6iwj	0	nan
BxATG16_3	pdb2lni	1	0.961
I0QNP5_9GAMM	pdb2kru	0	0.053
A0A1I7RIV0_BURXY	pdb6xry	0	0.013
A0A1I7SF60_BURXY	pdb2l9p	0	0
BxATG16	pdb6xr6	1	0.988
A0A1I7RT14_BURXY	pdb1xet	0	nan
BxATG9_4	pdb6amw	0	0.046
A0A1I7RYC6_BURXY	pdb2lfi	0	0.019
Bx_tlp_1_4	pdb5krw	1	0.903
BxCYP33C4_2	pdb2m47	0	0.088
I0QYP7_9GAMM	pdb7sxb	0	0.004
A0A1I7SCA3_BURXY	2kcx	0	0
A0A1I7S9L6_BURXY	pdb2mm6	0	0
BxCYP33C9_2	pdb2kkq	0	0.333
BxATG1_5	pdb2lni	0	0.172
BxSapB1_5	pdb2lf2	0	0.108
cyp_33C9_1	pdb7lns	1	0.925
A0A1I7SF60_BURXY	pdb2lmd	0	0
BxSapB1	pdb2ksi	1	0.985
A0A1I7SCA3_BURXY	pdb2ksh	0	0
A0A1I7RT14_BURXY	pdb2lf2	0	0.002
BxCYP33D3_5	pdb6wlf	0	nan
BxCYP33C9_4	pdb6lqz	0	0
cyp_33C9_1	pdb2ltd	0	nan
BxATG8_5	pdb6pri	0	0
cyp_33C9_1	pdb7m5t	1	0.925
I4N4Q3_9PSED	pdb2lw4	0	0.003
Bx_tlp_1_4	pdb7y55	0	nan
BxATG1_5	pdb1u0u	0	nan
BxPel1_3	pdb6xr7	0	0.011
A0A1I7RKM9_BURXY	pdb2luz	0	0.341
A0A1I7S6H9_BURXY	pdb7lu8	0	0.11
Bx_tlp_1_4	pdb2lnb	1	0.92
I4N8B0_9PSED	pdb2kct	0	0.021
Bx_cpl_3_1	pdb7jyn	1	0.585
Bx_tlp_1_1	pdb2kvo	0	0.019
Bx_cpl_1_4	pdb1xet	0	nan
A0A1I7RIV0_BURXY	pdb6xr6	0	0.009
BxCYP33C9_4	pdb2mh2	0	0
I0QQT8_9GAMM	pdb1u0u	0	nan
Bx_cpl_1_3	pdb2ksi	0	0.001
Bx_tlp_1_1	pdb2mv0	0	0.019
cyp_33C9_1	pdb2mbl	1	0.841
Bx_cpl_2_5	pdb2l0c	0	0.319
A0A1I7RYC6_BURXY	pdb2kt7	0	0.022
BxATG16_1	pdb2lze	0	0
BxSapB1_4	pdb6xr7	0	0.323
I0QNA0_9GAMM	pdb7mzx	0	0.019
I0QNP5_9GAMM	pdb2krt	0	0.053
I0QMH2_9GAMM	pdb6psi	0	nan
BxATG1_4	pdb2n3j	0	nan
I0QMH2_9GAMM	pdb2lxu	0	0.402
I0QNA0_9GAMM	pdb5zau	0	0.016
Bx_cpl_1_2	pdb2mh2	0	0.018
I4N8B0_9PSED	pdb2n66	0	0.02
BxCYP33C9_2	pdb2mk2	1	0.684
A0A7I8WZ01_BURXY	pdb2kt1	0	0.001
BxCYP33C9_4	pdb2m1l	0	nan
A0A1I7RYC6_BURXY	pdb5kp0	0	0.013
BxSapB1_2	pdb2kt7	1	0.622
A0A1I7RL37_BURXY	pdb2kw2	1	0.524
A0A1I7S5S3_BURXY	pdb2l82	0	0.005
BxPel1_1	pdb2l09	0	0
BxSapB1	7mzw	1	0.985
Bx_Prx_3	pdb7jyn	1	0.674
A0A1I7S412_BURXY	pdb2l5q	0	0
BxCYP33D3_2	pdb1xes	0	nan
I4N5X7_9PSED	pdb2mbl	0	0.002
A0A1I7RKM9_BURXY	pdb6xr7	1	0.671
BxATG9_1	pdb5uke	0	0
BxCYP33D3_3	pdb6jxu	1	0.675
A0A1I7RL37_BURXY	pdb2ljw	0	0.405
BxATG16_2	pdb6xrg	0	0.017
I4N0B6_9PSED	pdb2kw2	0	0.014
BxATG8_4	pdb2lml	0	0
I4MYK4_9PSED	pdb5vso	0	0.027
A0A1I7SCA3_BURXY	pdb2kl6	0	0
BxATG8_2	pdb2lso	0	0.011
BxATG16_2	pdb2lze	0	0.005
Bx_cpl_2_1	pdb6jxu	0	0.042
BxPel1_2	pdb5krw	0	0.009
A0A1I7RT14_BURXY	pdb7lns	0	0.003
Bx_cpl_1_1	pdb2n75	0	0.009
I4N5T3_9PSED	pdb2kw6	0	0.056
A0A1I7RJ71_BURXY	pdb2m1l	0	nan
I4N4Q3_9PSED	pdb2kzv	0	0.001
I4N4Q3_9PSED	pdb2mbl	0	0.002
Bx_cpl_3_3	pdb7lns	1	0.928
A0A1I7RKM9_BURXY	pdb7sxb	0	0.268
BxSapB1_4	pdb2ltl	0	0.105
BxATG16_2	7mzw	0	0.009
Bx_cpl_1_3	pdb7sxb	0	0
BxATG1_4	pdb2lml	0	0
Bx_cpl_1_3	pdb2n3j	0	nan
BxATG1_3	pdb5z55	0	0.042
BxSapB1_2	pdb2n3k	0	0.49
I0QYY0_9GAMM	pdb2n3j	0	nan
Bx_cpl_3_2	pdb3sdt	0	0
BxATG9_5	pdb2lok	0	0.449
BxATG1_3	pdb2lna	0	0.065
Bx_cpl_3_2	pdb6ppt	0	0
cyp_33C9_1	pdb2mm5	1	0.82
cyp_33C9_1	pdb6lqz	1	0.827
I0QYY0_9GAMM	pdb2lok	1	0.914
BxATG8_3	pdb6nu4	0	0.001
BxATG16_3	pdb1xes	0	nan
Bx_cpl_2_2	pdb3sdt	0	0.262
A0A7I8X2Z5_BURXY	pdb6ppt	0	0.001
Bx_cpl_1_1	pdb7jyn	0	0.046
Bx_tlp_1_1	pdb7y55	0	nan
BxCYP33C9_2	pdb2ma6	0	0.308
A0A1I7RT14_BURXY	pdb2lmd	0	0.001
BxPel1_1	pdb5kp0	0	0
Bx_tlp_1_4	pdb7mzx	1	0.953
I0QQT8_9GAMM	pdb2kl3	0	0.008
I0QQT8_9GAMM	pdb2kz5	0	0.012
I4N0B6_9PSED	pdb6prq	0	0.013
cyp_33C9_5	pdb2kkq	0	0.18
SapB3_4	pdb2mv0	0	0.002
BxSapB1_4	pdb8ftw	0	0.186
cyp_33C9_3	pdb2m8x	0	0.201
I0QYY0_9GAMM	pdb8ftw	1	0.928
A0A1I7S412_BURXY	pdb2lx7	0	0
BxCYP33D3_3	pdb3sdv	1	0.601
A0A1I7RL98_BURXY	pdb5nce	0	0
Bx_cpl_2_3	pdb6amv	0	0.291
SapB3_3	pdb6tfb	0	nan
cyp_33C9_4	pdb6xry	0	0.493
BxCYP33D3_4	pdb2nbn	0	0.048
BxPel1_2	pdb2lze	0	0.013
Bx_cpl_3_3	2kyq	1	0.97
Bx_cpl_2_4	pdb8ftx	0	0.341
Bx_cpl_1_2	pdb2lcg	0	0.018
I4N4Q3_9PSED	pdb2lo0	0	nan
I4MYK4_9PSED	pdb3s9v	0	nan
BxCYP33C9_3	pdb2lmd	0	0
BxCYP33C4_4	pdb6prp	0	0.003
Bx_cpl_2_4	pdb2kif	0	0.252
I4MYK4_9PSED	pdb7jyn	0	0.155
A0A1I7RKV3_BURXY	pdb2nbn	0	0
Bx_Prx_3	pdb2lf2	0	0.356
I4N5T3_9PSED	pdb6pri	0	0.078
BxATG1_1	pdb2kpn	0	0.004
cyp_33C9_5	pdb2kzx	0	0.285
SapB3_4	pdb5zau	0	0.004
BxPel1_2	pdb2l9q	0	0.023
BxATG9_3	pdb2l7q	0	0.036
Bx_cpl_2_2	pdb2n3k	0	0.156
BxPel1_3	pdb6xry	0	0.011
I0QNP5_9GAMM	pdb2lze	0	0.029
I0QMH2_9GAMM	pdb1xet	0	nan
Bx_tlp_1_5	pdb2n66	1	0.904
I0QT18_9GAMM	pdb8c29	0	nan
BxATG9_4	pdb5kp0	0	0.026
BxCYP33D3_2	pdb2lmd	0	0
I4MYK4_9PSED	pdb6jxw	0	0.044
Bx_tlp_1_2	pdb7x5c	0	0.03
BxATG8_3	pdb2l9q	0	0.004
Bx_cpl_3_5	pdb2mry	0	0.063
cyp_33C9_3	pdb2lok	0	0.368
Bx_Prx_4	pdb3hbe	0	0.008
BxATG16	pdb7m5t	1	0.981
Bx_tlp_1_2	pdb8ftx	0	0.076
BxATG16_5	pdb3sdt	0	0
BxSapB1_5	pdb2mh2	0	0.154
A0A1I7S5S3_BURXY	2lla	0	0.011
Bx_tlp_1_1	pdb2lxu	0	0.028
BxCYP33D3_5	pdb2m47	0	0.225
Bx_tlp_1_5	pdb2lak	1	0.913
A0A1I7RKM9_BURXY	pdb2nbn	0	0.277
BxPel1_4	pdb2l3f	0	0.009
SapB3_2	pdb3hbh	0	0.028
I4N8B0_9PSED	pdb2kt7	0	0.034
I0QMH2_9GAMM	pdb2kct	0	0.321
SapB3_1	pdb2l07	0	0.085
BxSapB1_4	pdb2kif	0	0.125
cyp_33C9_4	pdb6e4j	0	0.202
cyp_33C9_1	pdb2n76	1	0.849
cyp_33C9_2	pdb7wcg	1	0.855
A0A1I7RL37_BURXY	pdb7qcc	0	0.338
BxATG8_1	pdb6nu4	0	0
Bx_Prx_5	pdb2lnz	0	nan
cyp_33C9_4	pdb6prj	0	0.193
SapB3_4	pdb8ftx	0	0.005
A0A1I7RKV3_BURXY	pdb2llf	0	0
I0QM84_9GAMM	pdb2kl6	0	0.077
Bx_cpl_2_5	pdb2l82	0	0.334
BxCYP33D3_3	pdb7lns	1	0.762
BxATG16_1	2kyq	0	0
BxATG8_2	pdb6wlf	0	nan
A0A1I7SCA3_BURXY	pdb2lfi	0	0
Bx_cpl_1_5	pdb2n3j	0	nan
Bx_cpl_1_4	pdb7lu8	0	0.012
Bx_cpl_3_3	pdb2lk2	1	0.884
I4N5T3_9PSED	2kl7	0	0.204
BxCYP33C4_4	pdb2mh2	0	0.004
Bx_cpl_1_1	pdb2lk2	0	0.011
Bx_cpl_1_2	pdb2lok	0	0.018
BxCYP33C4_4	6dxa	0	nan
cyp_33C9_1	pdb3sdv	1	0.854
I0QT18_9GAMM	pdb2lq3	0	0.009
Bx_tlp_1_2	pdb6pq2	0	0.052
cyp_33C9_4	pdb6xr6	0	0.386
BxATG1_3	pdb6wlf	0	nan
SapB3_3	pdb6e4j	0	0.381
A0A1I7SCA3_BURXY	pdb2lq3	0	0
A0A1I7SF60_BURXY	pdb2n75	0	0
BxATG8_1	pdb8s9c	0	nan
